Category,Subcategory,Name,Id,Unit,Price,Par Level,Quantity On Hand
Drink,Non-Alcoholic,Tonic Water,1,case,$20.00 ,50,35
Ingredient,Fruit,Green Olives,2,jar,$16.00 ,30,20
Cleaning Product,Applicant,Towels,3,feet,$10.00 ,20,17
Miscellaneous,Non-Food-Related,Straws,4,each,$1.00 ,1000,300
Drink,Non-Alcoholic,Soda Ginger Ale,5,oz,$69.00,363,478
Ingredient,Fruit,Cherries,6,lb,$10.00,30,59
Ingredient,Condiment,Sriracha,7,bottle,$18.00,69,102
Ingredient,Condiment,Hot Sauce,8,can,$54.00,487,33
Miscellaneous,Food-Related,Balsamic Glaze,9,jug,$20.00,380,172
Miscellaneous,Food-Related,Truffle Oil,10,bag,$68.00,136,317
Ingredient,Fruit,Tabasco Peppers in Vinegar,11,roll,$55.00,366,401
Drink,Alcoholic,Bloody Mary Mix,12,pack,$81.00,128,279
Drink,Non-Alcoholic,Apple Juice,13,ml,$71.00,486,136
Drink,Alcoholic,Apple Cider,14,liter,$65.00,143,117
Drink,Non-Alcoholic,Cranberry Juice,15,case,$97.00,401,236
Miscellaneous,Food-Related,Olive Oil,16,jar,$86.00,366,285
Miscellaneous,Food-Related,Honey Clover Jug,17,feet,$63.00,305,195
Miscellaneous,Non-Food-Related,Pan Coating Saute & Grill,18,each,$86.00,216,461
Ingredient,Condiment,Dressing Balsamic,19,oz,$91.00,149,92
Ingredient,Meat,Prime Ribeye Loin,20,lb,$93.00,353,101
Ingredient,Condiment,Dressing Creamy Caesar,21,bottle,$91.00,139,119
Ingredient,Condiment,Sauce Hot,22,can,$98.00,250,357
Miscellaneous,Food-Related,Wine Cooking Sauterne,23,jug,$37.00,35,248
Ingredient,Condiment,Worcestershire Sauce,24,bag,$89.00,139,153
Miscellaneous,Food-Related,Distilled White Vinegar,25,roll,$85.00,273,324
Miscellaneous,Food-Related,Champagne Vinegar,26,pack,$30.00,52,292
Ingredient,Condiment,Dijon Mustard,27,ml,$61.00,97,331
Miscellaneous,Food-Related,Pure Sesame Oil,28,liter,$88.00,423,7
Ingredient,Condiment,Bbq Sauce,29,case,$11.00,141,253
Ingredient,Condiment,Sauce Bbq Carolina Original,30,jar,$98.00,380,170
Miscellaneous,Food-Related,Canola Oil,31,feet,$42.00,482,51
Miscellaneous,Food-Related,Seasoning Montreal Steak No MSG,32,each,$19.00,278,38
Ingredient,Spice,Parsley Flakes,33,oz,$40.00,320,7
Ingredient,Vegetable,Potato Scalloped Casserole,34,lb,$57.00,5,447
Miscellaneous,Food-Related,Crouton Cube Sm Seasoned,35,bottle,$36.00,85,330
Ingredient,Spice,Blackened Seasoning (Magic),36,can,$59.00,384,451
Ingredient,Spice,Cinnamon Ground,37,jug,$81.00,331,248
Ingredient,Vegetable,Grits (Pouch),38,bag,$91.00,329,461
Miscellaneous,Food-Related,Cornbread Mix,39,roll,$90.00,108,424
